,Knowledge ID #,Citation #,Reference,Reference Type,Reference Rank
5231,524,2,"Naude, C. E., Brand, A., Schoonees, A., Nguyen, K. A., Chaplin, M., & Volmink, J. (2022). Low-carbohydrate versus balanced-carbohydrate diets for reducing weight and cardiovascular risk. The Cochrane database of systematic reviews, 1(1), CD013334. https://doi.org/10.1002/14651858.CD013334.pub2",Journal Article,1
5270,528,1,"Bartolomei, S., Malagoli Lanzoni, I., & Di Michele, R. (2022). Two vs. One Resistance Exercise Sessions in One Day: Acute Effects on Recovery and Performance. Research quarterly for exercise and sport, 1–6. Advance online publication. https://doi.org/10.1080/02701367.2021.1939848",Journal Article,1
5280,529,1,"Schutte, S., Esser, D., Siebelink, E., Michielsen, C., Daanje, M., Matualatupauw, J. C., Boshuizen, H. C., Mensink, M., Afman, L. A., & Wageningen Belly Fat Study team (2022). Diverging metabolic effects of two energy restricted diets differing in nutrient quality: a 12-week randomized controlled trial in subjects with abdominal obesity. The American journal of clinical nutrition, nqac025. Advance online publication. https://doi.org/10.1093/ajcn/nqac025",Journal Article,1
5290,530,1,"Bone, J. K., Bu, F., Fluharty, M. E., Paul, E., Sonke, J. K., & Fancourt, D. (2022). Engagement in leisure activities and depression in older adults in the United States: Longitudinal evidence from the Health and Retirement Study. Social science & medicine (1982), 294, 114703. https://doi.org/10.1016/j.socscimed.2022.114703",Journal Article,1
5300,531,1,"Ebrahimzadeh, A., Ebrahimzadeh, A., Mirghazanfari, S. M., Hazrati, E., Hadi, S., & Milajerdi, A. (2022). The effect of ginger supplementation on metabolic profiles in patients with type 2 diabetes mellitus: A systematic review and meta-analysis of randomized controlled trials. Complementary therapies in medicine, 65, 102802. https://doi.org/10.1016/j.ctim.2022.102802",Journal Article,1
5390,540,1,"Grgic, J., & Mikulic, P. (2021). Effects of Attentional Focus on Muscular Endurance: A Meta-Analysis. International journal of environmental research and public health, 19(1), 89. https://doi.org/10.3390/ijerph19010089",Journal Article,1
5400,541,1,"Gallardo-Gómez, D., Del Pozo-Cruz, J., Noetel, M., Álvarez-Barbosa, F., Alfonso-Rosa, R. M., & Del Pozo Cruz, B. (2022). Optimal dose and type of exercise to improve cognitive function in older adults: A systematic review and bayesian model-based network meta-analysis of RCTs. aging research reviews, 76, 101591. https://doi.org/10.1016/j.arr.2022.101591",Journal Article,1
5410,542,1,"Gallardo-Gómez, D., Del Pozo-Cruz, J., Noetel, M., Álvarez-Barbosa, F., Alfonso-Rosa, R. M., & Del Pozo Cruz, B. (2022). Optimal dose and type of exercise to improve cognitive function in older adults: A systematic review and bayesian model-based network meta-analysis of RCTs. aging research reviews, 76, 101591. https://doi.org/10.1016/j.arr.2022.101591",Journal Article,1
5490,550,1,"Kreitzman, S. N., Coxon, A. Y., & Szaz, K. F. (1992). Glycogen storage: illusions of easy weight loss, excessive weight regain, and distortions in estimates of body composition. The American journal of clinical nutrition, 56(1 Suppl), 292S–293S. https://doi.org/10.1093/ajcn/56.1.292S",Journal Article,1
5710,572,1,"Børsheim, E., & Bahr, R. (2003). Effect of exercise intensity, duration and mode on post-exercise oxygen consumption. Sports medicine (Auckland, N.Z.), 33(14), 1037–1060. https://doi.org/10.2165/00007256-200333140-00002",Journal Article,1
5720,573,1,"Børsheim, E., & Bahr, R. (2003). Effect of exercise intensity, duration and mode on post-exercise oxygen consumption. Sports medicine (Auckland, N.Z.), 33(14), 1037–1060. https://doi.org/10.2165/00007256-200333140-00002",Journal Article,1
5730,574,1,"Dunford, E. C., Valentino, S. E., Dubberley, J., Oikawa, S. Y., McGlory, C., Lonn, E., Jung, M. E., Gibala, M. J., Phillips, S. M., & MacDonald, M. J. (2021). Brief Vigorous Stair Climbing Effectively Improves Cardiorespiratory Fitness in Patients With Coronary Artery Disease: A Randomized Trial. Frontiers in sports and active living, 3, 630912. https://doi.org/10.3389/fspor.2021.630912",Journal Article,1
5840,585,1,"Lindseth, G., Helland, B., & Caspers, J. (2015). The effects of dietary tryptophan on affective disorders. Archives of psychiatric nursing, 29(2), 102–107. https://doi.org/10.1016/j.apnu.2014.11.008",Journal Article,1
5841,585,2,"Fadda F. (2000). Tryptophan-Free Diets: A Physiological Tool to Study Brain Serotonin Function. News in physiological sciences : an international journal of physiology produced jointly by the International Union of Physiological Sciences and the American Physiological Society, 15, 260–264. https://doi.org/10.1152/physiologyonline.2000.15.5.260",Journal Article,1
5990,600,1,"Chang, K. W., Lin, C. M., Yen, C. W., Yang, C. C., Tanaka, T., & Guo, L. Y. (2021). The Effect of Walking Backward on a Treadmill on Balance, Speed of Walking and Cardiopulmonary Fitness for Patients with Chronic Stroke: A Pilot Study. International journal of environmental research and public health, 18(5), 2376. https://doi.org/10.3390/ijerph18052376",Journal Article,1
5991,600,2,"Weng, C. S., Wang, J., Pan, X. Y., Yu, Z. Z., Wang, G., Gao, L. P., & Huo, C. N. (2006). [Effectiveness of backward walking treadmill training in lower extremity function after stroke]. Zhonghua yi xue za zhi, 86(37), 2635–2638.",Journal Article,1
5992,600,3,"Yang, Y. R., Yen, J. G., Wang, R. Y., Yen, L. L., & Lieu, F. K. (2005). Gait outcomes after additional backward walking training in patients with stroke: a randomized controlled trial. Clinical rehabilitation, 19(3), 264–273. https://doi.org/10.1191/0269215505cr860oa",Journal Article,1
6000,601,1,"Wu, V. X., Chi, Y., Lee, J. K., Goh, H. S., Chen, D., Haugan, G., Chao, F., & Klainin-Yobas, P. (2021). The effect of dance interventions on cognition, neuroplasticity, physical function, depression, and quality of life for older adults with mild cognitive impairment: A systematic review and meta-analysis. International journal of nursing studies, 122, 104025. https://doi.org/10.1016/j.ijnurstu.2021.104025",Journal Article,1
6030,604,1,"Gratwicke, M., Miles, K. H., Pyne, D. B., Pumpa, K. L., & Clark, B. (2021). Nutritional Interventions to Improve Sleep in Team-Sport Athletes: A Narrative Review. Nutrients, 13(5), 1586. https://doi.org/10.3390/nu13051586",Journal Article,1
6050,606,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6051,606,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6052,606,3,"Kubota, S., Liu, Y., Iizuka, K., Kuwata, H., Seino, Y., & Yabe, D. (2020). A Review of Recent Findings on Meal Sequence: An Attractive Dietary Approach to Prevention and Management of Type 2 Diabetes. Nutrients, 12(9), 2502. https://doi.org/10.3390/nu12092502",Journal Article,1
6053,606,4,"Sun, L., Goh, H. J., Govindharajulu, P., Leow, M. K., & Henry, C. J. (2020). Postprandial glucose, insulin and incretin responses differ by test meal macronutrient ingestion sequence (PATTERN study). Clinical nutrition (Edinburgh, Scotland), 39(3), 950–957. https://doi.org/10.1016/j.clnu.2019.04.001",Journal Article,1
6060,607,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6061,607,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6062,607,3,"Kubota, S., Liu, Y., Iizuka, K., Kuwata, H., Seino, Y., & Yabe, D. (2020). A Review of Recent Findings on Meal Sequence: An Attractive Dietary Approach to Prevention and Management of Type 2 Diabetes. Nutrients, 12(9), 2502. https://doi.org/10.3390/nu12092502",Journal Article,1
6070,608,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6071,608,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6072,608,3,"Kubota, S., Liu, Y., Iizuka, K., Kuwata, H., Seino, Y., & Yabe, D. (2020). A Review of Recent Findings on Meal Sequence: An Attractive Dietary Approach to Prevention and Management of Type 2 Diabetes. Nutrients, 12(9), 2502. https://doi.org/10.3390/nu12092502",Journal Article,1
6073,608,4,"Sun, L., Goh, H. J., Govindharajulu, P., Leow, M. K., & Henry, C. J. (2020). Postprandial glucose, insulin and incretin responses differ by test meal macronutrient ingestion sequence (PATTERN study). Clinical nutrition (Edinburgh, Scotland), 39(3), 950–957. https://doi.org/10.1016/j.clnu.2019.04.001",Journal Article,1
6080,609,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6081,609,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6082,609,3,"Kubota, S., Liu, Y., Iizuka, K., Kuwata, H., Seino, Y., & Yabe, D. (2020). A Review of Recent Findings on Meal Sequence: An Attractive Dietary Approach to Prevention and Management of Type 2 Diabetes. Nutrients, 12(9), 2502. https://doi.org/10.3390/nu12092502",Journal Article,1
6083,609,4,"Sun, L., Goh, H. J., Govindharajulu, P., Leow, M. K., & Henry, C. J. (2020). Postprandial glucose, insulin and incretin responses differ by test meal macronutrient ingestion sequence (PATTERN study). Clinical nutrition (Edinburgh, Scotland), 39(3), 950–957. https://doi.org/10.1016/j.clnu.2019.04.001",Journal Article,1
6090,610,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6091,610,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6092,610,3,"Kubota, S., Liu, Y., Iizuka, K., Kuwata, H., Seino, Y., & Yabe, D. (2020). A Review of Recent Findings on Meal Sequence: An Attractive Dietary Approach to Prevention and Management of Type 2 Diabetes. Nutrients, 12(9), 2502. https://doi.org/10.3390/nu12092502",Journal Article,1
6093,610,4,"Sun, L., Goh, H. J., Govindharajulu, P., Leow, M. K., & Henry, C. J. (2020). Postprandial glucose, insulin and incretin responses differ by test meal macronutrient ingestion sequence (PATTERN study). Clinical nutrition (Edinburgh, Scotland), 39(3), 950–957. https://doi.org/10.1016/j.clnu.2019.04.001",Journal Article,1
6100,611,1,Can the order you eat your food alter blood glucose?. (2020 February 8). myDr. https://www.mydr.com.au/can-the-order-you-eat-your-food-alter-blood-glucose/,Journal Article,1
6101,611,2,"Shukla, A. P., Dickison, M., Coughlin, N., Karan, A., Mauer, E., Truong, W., Casper, A., Emiliano, A. B., Kumar, R. B., Saunders, K. H., Igel, L. I., & Aronne, L. J. (2019). The impact of food order on postprandial glycaemic excursions in prediabetes. Diabetes, obesity & metabolism, 21(2), 377–381. https://doi.org/10.1111/dom.13503",Journal Article,1
6102,611,3,"Sun, L., Goh, H. J., Govindharajulu, P., Leow, M. K., & Henry, C. J. (2020). Postprandial glucose, insulin and incretin responses differ by test meal macronutrient ingestion sequence (PATTERN study). Clinical nutrition (Edinburgh, Scotland), 39(3), 950–957. https://doi.org/10.1016/j.clnu.2019.04.001",Journal Article,1
6110,612,1,"Ma, J., Stevens, J. E., Cukier, K., Maddox, A. F., Wishart, J. M., Jones, K. L., Clifton, P. M., Horowitz, M., & Rayner, C. K. (2009). Effects of a protein preload on gastric emptying, glycemia, and gut hormones after a carbohydrate meal in diet-controlled type 2 diabetes. Diabetes care, 32(9), 1600–1602. https://doi.org/10.2337/dc09-0723",Journal Article,1
6111,612,2,"Sun, L., Tan, K., Han, C., Leow, M. K., & Henry, C. J. (2017). Impact of preloading either dairy or soy milk on postprandial glycemia, insulinemia and gastric emptying in healthy adults. European journal of nutrition, 56(1), 77–87. https://doi.org/10.1007/s00394-015-1059-y",Journal Article,1
6112,612,3,"Akhavan, T., Luhovyy, B. L., Brown, P. H., Cho, C. E., & Anderson, G. H. (2010). Effect of premeal consumption of whey protein and its hydrolysate on food intake and postmeal glycemia and insulin responses in young adults. The American journal of clinical nutrition, 91(4), 966–975. https://doi.org/10.3945/ajcn.2009.28406",Journal Article,1
6120,613,1,"Ma, J., Stevens, J. E., Cukier, K., Maddox, A. F., Wishart, J. M., Jones, K. L., Clifton, P. M., Horowitz, M., & Rayner, C. K. (2009). Effects of a protein preload on gastric emptying, glycemia, and gut hormones after a carbohydrate meal in diet-controlled type 2 diabetes. Diabetes care, 32(9), 1600–1602. https://doi.org/10.2337/dc09-0723",Journal Article,1
6121,613,2,"Sun, L., Tan, K., Han, C., Leow, M. K., & Henry, C. J. (2017). Impact of preloading either dairy or soy milk on postprandial glycemia, insulinemia and gastric emptying in healthy adults. European journal of nutrition, 56(1), 77–87. https://doi.org/10.1007/s00394-015-1059-y",Journal Article,1
6122,613,3,"Akhavan, T., Luhovyy, B. L., Brown, P. H., Cho, C. E., & Anderson, G. H. (2010). Effect of premeal consumption of whey protein and its hydrolysate on food intake and postmeal glycemia and insulin responses in young adults. The American journal of clinical nutrition, 91(4), 966–975. https://doi.org/10.3945/ajcn.2009.28406",Journal Article,1
6170,618,1,"Soos MP, McComb D. Sinus Arrhythmia. [Updated 2021 Sep 24]. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan-. Available from: https://www.ncbi.nlm.nih.gov/books/NBK537011/",Journal Article,1
6171,618,2,"Gerritsen, R., & Band, G. (2018). Breath of Life: The Respiratory Vagal Stimulation Model of Contemplative Activity. Frontiers in human neuroscience, 12, 397. https://doi.org/10.3389/fnhum.2018.00397",Journal Article,1
6180,619,1,"Gerritsen, R., & Band, G. (2018). Breath of Life: The Respiratory Vagal Stimulation Model of Contemplative Activity. Frontiers in human neuroscience, 12, 397. https://doi.org/10.3389/fnhum.2018.00397",Journal Article,1
6190,620,1,"Gerritsen, R., & Band, G. (2018). Breath of Life: The Respiratory Vagal Stimulation Model of Contemplative Activity. Frontiers in human neuroscience, 12, 397. https://doi.org/10.3389/fnhum.2018.00397",Journal Article,1
6200,621,1,"Sophia Fox, A. J., Bedi, A., & Rodeo, S. A. (2009). The basic science of articular cartilage: structure, composition, and function. Sports health, 1(6), 461–468. https://doi.org/10.1177/1941738109350438",Journal Article,1
6220,623,1,"Sophia Fox, A. J., Bedi, A., & Rodeo, S. A. (2009). The basic science of articular cartilage: structure, composition, and function. Sports health, 1(6), 461–468. https://doi.org/10.1177/1941738109350438",Journal Article,1
6280,629,1,"La Bounty, P. M., Campbell, B. I., Wilson, J., Galvan, E., Berardi, J., Kleiner, S. M., Kreider, R. B., Stout, J. R., Ziegenfuss, T., Spano, M., Smith, A., & Antonio, J. (2011). International Society of Sports Nutrition position stand: meal frequency. Journal of the International Society of Sports Nutrition, 8, 4. https://doi.org/10.1186/1550-2783-8-4",Journal Article,1
6281,629,2,"Perrigue, M. M., Drewnowski, A., Wang, C. Y., & Neuhouser, M. L. (2016). Higher Eating Frequency Does Not Decrease Appetite in Healthy Adults. The Journal of nutrition, 146(1), 59–64. https://doi.org/10.3945/jn.115.216978",Journal Article,1
6290,630,1,"Howarth, N. C., Huang, T. T., Roberts, S. B., Lin, B. H., & McCrory, M. A. (2007). Eating patterns and dietary composition in relation to BMI in younger and older adults. International journal of obesity (2005), 31(4), 675–684. https://doi.org/10.1038/sj.ijo.0803456",Journal Article,1
6291,630,2,"Perrigue, M. M., Drewnowski, A., Wang, C. Y., & Neuhouser, M. L. (2016). Higher Eating Frequency Does Not Decrease Appetite in Healthy Adults. The Journal of nutrition, 146(1), 59–64. https://doi.org/10.3945/jn.115.216978",Journal Article,1
6300,631,1,"Howarth, N. C., Huang, T. T., Roberts, S. B., Lin, B. H., & McCrory, M. A. (2007). Eating patterns and dietary composition in relation to BMI in younger and older adults. International journal of obesity (2005), 31(4), 675–684. https://doi.org/10.1038/sj.ijo.0803456",Journal Article,1
6301,631,2,"Perrigue, M. M., Drewnowski, A., Wang, C. Y., & Neuhouser, M. L. (2016). Higher Eating Frequency Does Not Decrease Appetite in Healthy Adults. The Journal of nutrition, 146(1), 59–64. https://doi.org/10.3945/jn.115.216978",Journal Article,1
6302,631,3,"La Bounty, P. M., Campbell, B. I., Wilson, J., Galvan, E., Berardi, J., Kleiner, S. M., Kreider, R. B., Stout, J. R., Ziegenfuss, T., Spano, M., Smith, A., & Antonio, J. (2011). International Society of Sports Nutrition position stand: meal frequency. Journal of the International Society of Sports Nutrition, 8, 4. https://doi.org/10.1186/1550-2783-8-4",Journal Article,1
6330,634,1,"Badaam, K. M., & Zingade, U. S. (2021). The Effect of Traditional Aerobic Exercise and Sprint Interval Training on Insulin Resistance in Men With Prediabetes: A Randomised Controlled Trial. Cureus, 13(12), e20789. https://doi.org/10.7759/cureus.20789",Journal Article,1
6350,636,1,"Wang, Y., Huang, P., Wu, Y., Liu, D., Ji, M., Li, H., & Wang, Y. (2022). Association and mechanism of garlic consumption with gastrointestinal cancer risk: A systematic review and meta-analysis. Oncology letters, 23(4), 125. https://doi.org/10.3892/ol.2022.13245",Journal Article,1
6360,637,1,"Chen, X., Guan, X., Tang, Y., Deng, J., & Zhang, X. (2022). Effects of cocoa products intake on cardiometabolic biomarkers of type 2 diabetes patients: a systematic review and meta-analysis based on both long-term and short-term randomised controlled trials. International journal of food sciences and nutrition, 1–17. Advance online publication. https://doi.org/10.1080/09637486.2022.2046711",Journal Article,1
6370,638,1,"Nezami, B. T., Hurley, L., Power, J., Valle, C. G., & Tate, D. F. (2022). A pilot randomized trial of simplified versus standard calorie dietary self-monitoring in a mobile weight loss intervention. Obesity (Silver Spring, Md.), 30(3), 628–638. https://doi.org/10.1002/oby.23377",Journal Article,1
6380,639,1,"Hall, K. D., Sacks, G., Chandramohan, D., Chow, C. C., Wang, Y. C., Gortmaker, S. L., & Swinburn, B. A. (2011). Quantification of the effect of energy imbalance on bodyweight. Lancet (London, England), 378(9793), 826–837. https://doi.org/10.1016/S0140-6736(11)60812-X",Journal Article,1
6390,640,1,"Buffey, A. J., Herring, M. P., Langley, C. K., Donnelly, A. E., & Carson, B. P. (2022). The Acute Effects of Interrupting Prolonged Sitting Time in Adults with Standing and Light-Intensity Walking on Biomarkers of Cardiometabolic Health in Adults: A Systematic Review and Meta-analysis. Sports medicine (Auckland, N.Z.), 10.1007/s40279-",Journal Article,1
6391,640,2,"Benatti, F. B., & Ried-Larsen, M. (2015). The Effects of Breaking up Prolonged Sitting Time: A Review of Experimental Studies. Medicine and science in sports and exercise, 47(10), 2053–2061. https://doi.org/10.1249/MSS.0000000000000654",Journal Article,1
6410,642,1,"Crispim, C. A., Zimberg, I. Z., dos Reis, B. G., Diniz, R. M., Tufik, S., & de Mello, M. T. (2011). Relationship between food intake and sleep pattern in healthy individuals. Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine, 7(6), 659–664. https://doi.org/10.5664/jcsm.1476",Journal Article,1
6411,642,2,"Kinsey, A. W., & Ormsbee, M. J. (2015). The health impact of nighttime eating: old and new perspectives. Nutrients, 7(4), 2648–2662. https://doi.org/10.3390/nu7042648",Journal Article,1
6420,643,1,"Richter, J., Herzog, N., Janka, S., Baumann, T., Kistenmacher, A., & Oltmanns, K. M. (2020). Twice as High Diet-Induced Thermogenesis After Breakfast vs Dinner On High-Calorie as Well as Low-Calorie Meals. The Journal of clinical endocrinology and metabolism, 105(3), dgz311. https://doi.org/10.1210/clinem/dgz311",Journal Article,1
6421,643,2,"Jakubowicz, D., Barnea, M., Wainstein, J., & Froy, O. (2013). High caloric intake at breakfast vs. dinner differentially influences weight loss of overweight and obese women. Obesity (Silver Spring, Md.), 21(12), 2504–2512. https://doi.org/10.1002/oby.20460",Journal Article,1
6430,644,1,"Sondrup, N., Termannsen, A. D., Eriksen, J. N., Hjorth, M. F., Færch, K., Klingenberg, L., & Quist, J. S. (2022). Effects of sleep manipulation on markers of insulin sensitivity: A systematic review and meta-analysis of randomized controlled trials. Sleep medicine reviews, 62, 101594. Advance online publication. https://doi.org/10.1016/j.smrv.2022.101594",Journal Article,1
6440,645,1,"Seligman, M. E., Steen, T. A., Park, N., & Peterson, C. (2005). Positive psychology progress: empirical validation of interventions. The American psychologist, 60(5), 410–421. https://doi.org/10.1037/0003-066X.60.5.410",Journal Article,1
6441,645,2,"Sato, D., Sekizawa, Y., Sutoh, C., Hirano, Y., Okawa, S., Hirose, M., Takemura, R., & Shimizu, E. (2022). Effectiveness of Unguided Internet-Based Cognitive Behavioral Therapy and the Three Good Things Exercise for Insomnia: 3-Arm Randomized Controlled Trial. Journal of medical Internet research, 24(2), e28747. https://doi.org/10.2196/28747",Journal Article,1
6450,646,1,"Sheng, L. T., Jiang, Y. W., Alperet, D. J., Feng, L., Pan, A., & Koh, W. P. (2022). Quantity and variety of fruit and vegetable intake in midlife and cognitive impairment in late life: a prospective cohort study. The British journal of nutrition, 1–30. Advance online publication. https://doi.org/10.1017/S0007114522000848",Journal Article,1
6460,647,1,"Barratt, E. L., & Davis, N. J. (2015). Autonomous Sensory Meridian Response (ASMR): a flow-like mental state. PeerJ, 3, e851. https://doi.org/10.7717/peerj.851",Journal Article,1
6461,647,2,"Paszkiel, S., Dobrakowski, P., & Łysiak, A. (2020). The Impact of Different Sounds on Stress Level in the Context of EEG, Cardiac Measures and Subjective Stress Level: A Pilot Study. Brain sciences, 10(10), 728. https://doi.org/10.3390/brainsci10100728",Journal Article,1
6462,647,3,"Poerio, G. L., Blakey, E., Hostler, T. J., & Veltri, T. (2018). More than a feeling: Autonomous sensory meridian response (ASMR) is characterized by reliable changes in affect and physiology. PloS one, 13(6), e0196645. https://doi.org/10.1371/journal.pone.0196645",Journal Article,1
6463,647,4,"Eid, C. M., Hamilton, C., & Greer, J. (2022). Untangling the tingle: Investigating the association between the Autonomous Sensory Meridian Response (ASMR), neuroticism, and trait & state anxiety. PloS one, 17(2), e0262668. https://doi.org/10.1371/journal.pone.0262668",Journal Article,1
6470,648,1,"Oliveira, B., Falkenhain, K., & Little, J. P. (2022). Sugar-Free Dark Chocolate Consumption Results in Lower Blood Glucose in Adults With Diabetes. Nutrition and metabolic insights, 15, 11786388221076962. https://doi.org/10.1177/11786388221076962",Journal Article,1
6490,650,1,"Baradaran Mahdavi, S., Riahi, R., Vahdatpour, B., & Kelishadi, R. (2021). Association between sedentary behavior and low back pain; A systematic review and meta-analysis. Health promotion perspectives, 11(4), 393–410. https://doi.org/10.34172/hpp.2021.50",Journal Article,1
6500,651,1,World Economic Forum. (2017). Human-centric health: Behaviour change and the prevention of non-communicable diseases.,Journal Article,1
6510,652,1,World Economic Forum. (2017). Human-centric health: Behaviour change and the prevention of non-communicable diseases.,Journal Article,1
6520,653,1,World Economic Forum. (2017). Human-centric health: Behaviour change and the prevention of non-communicable diseases.,Journal Article,1
6530,654,1,World Economic Forum. (2017). Human-centric health: Behaviour change and the prevention of non-communicable diseases.,Journal Article,1
6560,657,1,"Nugent, A. P. (2005). Health properties of resistant starch. Nutrition Bulletin, 30(1), 27-54.",Journal Article,1
6561,657,2,"Falcomer, A. L., Riquette, R., de Lima, B. R., Ginani, V. C., & Zandonadi, R. P. (2019). Health Benefits of Green Banana Consumption: A Systematic Review. Nutrients, 11(6), 1222. https://doi.org/10.3390/nu11061222",Journal Article,1
6562,657,3,"Thakorlal, J., Perera, C. O., Smith, B., Englberger, L., & Lorens, A. (2010). Resistant starch in Micronesian banana cultivars offers health benefits. Pacific health dialog, 16(1), 49-60.",Journal Article,1
6570,658,1,"Nugent, A. P. (2005). Health properties of resistant starch. Nutrition Bulletin, 30(1), 27-54.",Journal Article,1
6580,659,1,"Nugent, A. P. (2005). Health properties of resistant starch. Nutrition Bulletin, 30(1), 27-54.",Journal Article,1
6590,660,1,"InformedHealth.org [Internet]. Cologne, Germany: Institute for Quality and Efficiency in Health Care (IQWiG); 2006-. Depression: What is burnout? [Updated 2020 Jun 18]. Available from: https://www.ncbi.nlm.nih.gov/books/NBK279286/",Journal Article,1
6660,667,1,"Milkman, K. L., Minson, J. A., & Volpp, K. G. (2014). Holding the Hunger Games Hostage at the Gym: An Evaluation of Temptation Bundling. Management science, 60(2), 283–299. https://doi.org/10.1287/mnsc.2013.1784",Journal Article,1
6710,672,1,"Holt, S. H., Brand Miller, J. C., Petocz, P., & Farmakalidis, E. (1995). A satiety index of common foods. European journal of clinical nutrition, 49(9), 675-690.",Journal Article,1
6740,675,1,"van den Tillaar, R., Kristiansen, E. L., & Larsen, S. (2021). Is the Occurrence of the Sticking Region in Maximum Smith Machine Squats the Result of Diminishing Potentiation and Co-Contraction of the Prime Movers among Recreationally Resistance Trained Males?. International journal of environmental research and public health, 18(3), 1366. https://doi.org/10.3390/ijerph18031366",Journal Article,1
6750,676,1,"Costa, B., Kassiano, W., Nunes, J. P., Kunevaliki, G., Castro-E-Souza, P., Rodacki, A., Cyrino, L. T., Cyrino, E. S., & Fortes, L. S. (2021). Does Performing Different Resistance Exercises for the Same Muscle Group Induce Non-homogeneous Hypertrophy?. International journal of sports medicine, 42(9), 803–811. https://doi.org/10.1055/a-1308-3674",Journal Article,1
6760,677,1,"Júdice, P. B., Hetherington-Rauth, M., Magalhães, J. P., Correia, I. R., & Sardinha, L. B. (2022). Sedentary behaviours and their relationship with body composition of athletes. European journal of sport science, 22(3), 474–480. https://doi.org/10.1080/17461391.2021.1874060",Journal Article,1
6770,678,1,"Giráldez-Costas, V., Ruíz-Moreno, C., González-García, J., Lara, B., Del Coso, J., & Salinero, J. J. (2021). Pre-exercise Caffeine Intake Enhances Bench Press Strength Training Adaptations. Frontiers in nutrition, 8, 622564. https://doi.org/10.3389/fnut.2021.622564",Journal Article,1
6790,680,1,"Brietzke, C., Franco-Alvarenga, P. E., Coelho-Júnior, H. J., Silveira, R., Asano, R. Y., & Pires, F. O. (2019). Effects of Carbohydrate Mouth Rinse on Cycling Time Trial Performance: A Systematic Review and Meta-Analysis. Sports medicine (Auckland, N.Z.), 49(1), 57–66. https://doi.org/10.1007/s40279-018-1029-7",Journal Article,1
6800,681,1,"Hokken, R., Laugesen, S., Aagaard, P., Suetta, C., Frandsen, U., Ørtenblad, N., & Nielsen, J. (2021). Subcellular localization- and fibre type-dependent utilization of muscle glycogen during heavy resistance exercise in elite power and Olympic weightlifters. Acta physiologica (Oxford, England), 231(2), e13561. https://doi.org/10.1111/apha.13561",Journal Article,1
6810,682,1,"Douzi, W., Dugué, B., Vinches, L., Al Sayed, C., Hallé, S., Bosquet, L., & Dupuy, O. (2019). Cooling during exercise enhances performances, but the cooled body areas matter: A systematic review with meta-analyses. Scandinavian journal of medicine & science in sports, 29(11), 1660–1676. https://doi.org/10.1111/sms.13521",Journal Article,1
